"track_name","energy","loudness","liveness","valence","speechiness","danceability","count","track_artist"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Something Just Like This",0.649,-6.695,0.174,0.505,0.0362,0.607,5,"The Chainsmokers"
"Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,4,"The Chainsmokers"
"Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,4,"The Chainsmokers"
"Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,4,"The Chainsmokers"
"Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,4,"The Chainsmokers"
"Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,4,"The Chainsmokers"
"Who Do You Love",0.783,-6.143,0.174,0.493,0.0388,0.529,4,"The Chainsmokers"
"Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,4,"The Chainsmokers"
"Don't Let Me Down - W&W Remix",0.877,-5.677,0.126,0.484,0.121,0.431,4,"The Chainsmokers"
"Don't Let Me Down - W&W Remix",0.877,-5.677,0.126,0.484,0.121,0.431,4,"The Chainsmokers"
"Don't Let Me Down - W&W Remix",0.903,-4.638,0.115,0.446,0.14,0.435,4,"The Chainsmokers"
"Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,4,"The Chainsmokers"
"Don't Let Me Down - W&W Remix",0.877,-5.677,0.114,0.484,0.121,0.431,4,"The Chainsmokers"
"Somebody",0.616,-7.074,0.0928,0.292,0.0328,0.532,3,"The Chainsmokers"
"Something Just Like This - Alesso Remix",0.73,-5.99,0.122,0.568,0.0472,0.672,3,"The Chainsmokers"
"Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,3,"The Chainsmokers"
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,3,"The Chainsmokers"
"Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,3,"The Chainsmokers"
"All We Know",0.586,-8.821,0.115,0.296,0.0307,0.662,3,"The Chainsmokers"
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,3,"The Chainsmokers"
"All We Know",0.586,-8.821,0.115,0.296,0.0307,0.662,3,"The Chainsmokers"
"Somebody",0.616,-7.074,0.0928,0.292,0.0328,0.532,3,"The Chainsmokers"
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,3,"The Chainsmokers"
"Somebody",0.63,-7.019,0.102,0.323,0.0493,0.32,3,"The Chainsmokers"
"Something Just Like This - Alesso Remix",0.73,-5.99,0.122,0.568,0.0472,0.672,3,"The Chainsmokers"
"Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,3,"The Chainsmokers"
"Something Just Like This - Alesso Remix",0.73,-5.99,0.122,0.568,0.0472,0.672,3,"The Chainsmokers"
"All We Know",0.586,-8.821,0.115,0.296,0.0307,0.662,3,"The Chainsmokers"
"Paris",0.644,-6.763,0.0888,0.251,0.031,0.646,2,"The Chainsmokers"
"All We Know - Oliver Heldens Remix",0.8,-5.852,0.314,0.43,0.0303,0.711,2,"The Chainsmokers"
"Roses - Zaxx Remix",0.881,-3.534,0.359,0.566,0.054,0.677,2,"The Chainsmokers"
"Setting Fires - Blasterjaxx Remix",0.938,-4.887,0.194,0.164,0.286,0.585,2,"The Chainsmokers"
"Takeaway - Andrew Rayel Remix",0.83,-3.301,0.0875,0.162,0.0727,0.469,2,"The Chainsmokers"
"Roses - Zaxx Remix",0.881,-3.534,0.359,0.566,0.054,0.677,2,"The Chainsmokers"
"Closer - R3hab Remix",0.559,-5.89,0.219,0.408,0.0417,0.775,2,"The Chainsmokers"
